"X","Y","Z"
1.1,5.41426037776877,11.9876972738315
1.2,4.22608491498977,4.55651029478758
1.3,9.67823013344416,26.8668628986252
1.4,7.56695695590556,19.9097344724881
1.5,7.588824207304,27.4549422898614
1.6,12.3315764818677,2.08366493001902
1.7,0.410093673888375,6.09050273676129
1.8,14.5770078000544,34.2792579003563
1.9,0.611317420002813,0.768154447591596
2,3.05278878520527,0.375301130115986
2.1,0.652237466813675,14.0088837940582
2.2,4.6960071870333,5.48716760663824
2.3,2.41048971353018,5.24969332163101
2.4,6.9293450094984,2.78959258769949
2.5,9.47906220653906,0.340947237398931
2.6,5.56729641495769,9.94087934748264
2.7,6.52421313410344,6.25422100884835
2.8,4.20964317434417,6.65524383045529
2.9,0.396737167586915,1.46382276354165
3,0.153125023158888,3.1221709817311
3.1,0.266259983100336,3.31998760361345
3.2,2.0246951651643,NA
3.3,7.16325216747335,NA
3.4,1.45184533710912,3.12606633695609
3.5,0.602311493296708,6.39884595868254
3.6,5.27484067869299,3.40257068164647
3.7,2.35405443980004,0.867464921965792
3.8,0.0808027217556772,1.51608469650934
3.9,2.79954170440269,1.41657938798651
4,0.890863172244281,1.81628713263727
4.1,2.78344372186286,1.16138823143058
4.2,2.45565954763197,9.36114312597411
4.3,1.1574697637454,6.68870971260803
4.4,0.0300752369432964,0.358673148855904
4.5,1.16996660177679,6.02300340084108
4.6,1.45407494501737,1.91017629214279
4.7,1.43419971015859,14.2021233723977
4.8,1.58961571084586,2.55100726887273
4.9,3.66072308787161,6.37220287186767
5,3.90915954096203,10.8341204295482
5.1,7.29189802504357,1.35795964111789
5.2,0.106643837912438,6.66416820392939
5.3,3.47043571380404,3.37751184767602
5.4,2.90402284704319,0.495673947714132
5.5,0.330814609134739,1.2361602100977
5.6,10.8501663957708,3.24553084964693
5.7,1.99510803144702,0.61176287075668
5.8,2.44902750655396,4.37589041424624
5.9,7.27737633759238,12.6770673849272
6,0.400126269274831,3.57526523667975
6.1,2.3301027194731,0.423141874250819
6.2,0.147831921527075,5.69795131536076
6.3,0.385570535731931,1.59017692157437
6.4,2.3787883050824,2.15321807627333
6.5,10.1250098038093,2.59088168624185
6.6,1.01040332422902,3.20806325485222
6.7,0.415571504435713,2.95497897650834
6.8,2.74525109447016,0.109809718946401
6.9,0.13779927773968,3.02296336998027
7,0.17967304015266,13.2420589767645
7.1,2.35778882982785,1.99283701016344
7.2,1.28410375645344,2.01974677738137
7.3,1.54968352906061,1.44997980160024
7.4,2.32787297121096,2.32850208149098
7.5,2.57826907673203,2.13648106146577
7.6,0.948022581725794,NA
7.7,0.696518041145105,NA
7.8,2.70021143944791,NA
7.9,0.403664607696141,NA
8,1.17377660697663,4.03554082361466
8.1,2.34919450246923,1.47815635657789
8.2,0.307491009418921,1.39627151600108
8.3,0.0402854463781219,0.868659079848561
8.4,0.0481715684489213,6.87368886323742
8.5,0.280787762364044,2.49540606613302
8.6,1.35059320731185,3.17201799551695
8.7,3.29893435037204,0.161672334304486
8.8,2.46321232763445,0.898491460880875
8.9,1.10051288065918,2.86778357665796
9,1.43786124156053,4.59474063977141
9.1,2.14276035399165,0.836950131170042
9.2,0.947934949936889,0.498708032404397
9.3,2.22058192046678,2.44817762396287
9.4,0.261464768505477,1.8986584043148
9.5,0.146904255720404,0.104765912996229
9.6,4.26942599566194,0.306419692654636
9.7,0.465747221017775,1.1586171517283
9.8,0.839745717042271,1.30920315598499
9.9,1.31779069622329,7.95774177953764
10,0.192274900153279,NA
10.1,1.03576598010585,NA
10.2,0.892910675096428,1.77740440253129
10.3,1.38657867893542,0.395646770891634
10.4,0.31099917832762,4.10345860446137
10.5,0.407224490883804,1.26706635224677
10.6,0.574826077066081,1.73253626466868
10.7,2.71932023135194,1.75627413084799
10.8,1.07144488913113,3.22076669292212
10.9,2.08799805685662,0.119387177289079
11,0.0330694951117039,0.331491412256252
