Day;Rate
1;0,0014
2;0,004
3;0,0051
4;0,0064
5;0,0075
6;0,0098
7;0,0123
8;0,0164
9;0,0218
10;0,0298
11;0,0379
12;0,0452
13;0,0589
14;0,0634
15;0,0722
16;0,0757
17;0,0793
18;0,0826
19;0,085
20;0,0923
21;0,0968
22;0,1002
23;0,1059
24;0,1102
25;0,1158
26;0,1299
27;0,1336
28;0,1361
29;0,128
30;0,1213
31;0,1214
32;0,1168
33;0,1241
34;0,125
35;0,1266
36;0,1224
37;0,1338
38;0,1154
39;0,1249
40;0,1212
41;0,1279
42;0,1301
43;0,1366
44;0,1439
45;0,136
46;0,1306
47;0,1361
48;0,1452
49;0,1338
50;0,1515
51;0,136
52;0,1456
53;0,1501
54;0,1326
55;0,1603
56;0,1605
57;0,1581
58;0,1672
59;0,1601
60;0,1316
61;0,1309
62;0,125
63;0,1341
64;0,1413
65;0,1685
66;0,122
67;0,1363
68;0,1047
69;0,1257
70;0,0798
71;0,1193
72;0,1207
73;0,1092
74;0,1038
75;0,0912
76;0,1274
77;0,0664
78;0,0806
79;0,067
80;0,0663
81;0,0769
82;0,0897
83;0,0845
84;0,0615
85;0,0574
86;0,0522
87;0,1009
88;0,0714
90;0,0549
91;0,0116
92;0,0706
93;0,0759
94;0,0274
95;0,0563
96;0,0149
97;0,0152
98;0,0462
102;0,0645
103;0,0172
104;0,0351
105;0,0182
106;0,0185
108;0,0189
109;0,0192
110;0,0392
111;0,0408
112;0,0426
113;0,0444
114;0,0233
115;0,0476
119;0,025
120;0,0513
121;0,027
122;0,0833
124;0,0606
125;0,0968
126;0,1071
127;0,04
128;0,0417
129;0,087
132;0,0476
136;0,05
141;0,1053
142;0,0588
143;0,125
145;0,1429
146;0,0833
147;0,0909
148;0,1
150;0,1111
153;0,125
154;0,1429
155;0,1667
158;0,2
164;0,5
171;1
